fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density,year
1051,34315,TOTAL,8301,25777,237,77650,38248,39402,1965,36203.0,561.0,32740.0,2902.0,53128.0,22640.0,8787.0,75970.0,1680.0,27762,1717.0,1370.0,2902.0,21773.0,15414,34339,8658,4058,10576,37558,10751,5073,3136,2367,19462,13138,4958,4694,4496,1561,59044,28727,30317,15611,7875,7736,2995,1646,1349,618.485,125.54871985577661,2008
1053,14674,TOTAL,5188,9375,111,37996,19429,18567,722,14918.0,153.0,13243.0,1522.0,31927.0,16259.0,8505.0,37568.0,428.0,13804,2178.0,1046.0,2331.0,8249.0,9078,14309,4701,2663,8080,18140,2861,3878,2326,1876,8488,6398,3254,984,1452,425,24065,12079,11986,11936,6360,5576,1995,990,1005,945.08,40.204003893850256,2008
1055,44737,TOTAL,13497,30595,645,104066,50213,53853,3204,46024.0,71.0,41331.0,4622.0,36422.0,20439.0,17202.0,101704.0,2362.0,41584,4371.0,3216.0,6467.0,27530.0,18514,45153,12975,7725,15854,52334,11668,6780,4104,4970,23188,19517,9629,5264,4788,1616,85437,41628,43809,15658,7236,8422,2971,1349,1622,534.991,194.51916013540415,2008
1057,7957,TOTAL,1994,5883,80,17472,8533,8939,184,7285.0,3.0,6796.0,486.0,34560.0,17711.0,3094.0,17380.0,92.0,7164,816.0,831.0,980.0,4537.0,2823,8230,1811,1315,3217,9093,1214,925,966,1326,4020,3408,1665,339,727,148,15128,7446,7682,1954,919,1035,390,168,222,627.66,27.83672689035465,2008
1059,11693,TOTAL,3469,8048,176,31383,15579,15804,4134,14574.0,0.0,13397.0,1177.0,33942.0,18094.0,6019.0,28906.0,2477.0,12367,1448.0,1178.0,2055.0,7686.0,5155,14479,3549,1757,7243,13894,2515,3344,1833,2066,6749,4941,2204,970,1160,385,27392,13295,14097,1329,671,658,2662,1613,1049,633.821,49.513979498943705,2008
1061,11657,TOTAL,2134,9417,106,26541,12893,13648,850,12125.0,15.0,11185.0,925.0,34140.0,18351.0,4237.0,26106.0,435.0,10720,1460.0,939.0,1795.0,6526.0,4513,11463,3767,1875,5832,13157,1543,1966,1924,1942,5700,5080,2377,769,521,253,23154,11332,11822,2711,1226,1485,676,335,341,574.408,46.20583278784418,2008
1063,5305,TOTAL,4408,876,21,9255,4435,4820,97,3692.0,0.0,2883.0,809.0,22222.0,14738.0,2785.0,9172.0,83.0,3522,723.0,340.0,792.0,1667.0,2766,2480,1153,964,1852,4440,617,521,641,690,2103,1762,575,122,331,164,1663,856,807,7444,3493,3951,148,86,62,647.11,14.302050655993572,2008
1065,8214,TOTAL,4982,3200,32,16168,7732,8436,57,7007.0,2.0,6015.0,990.0,29299.0,16523.0,3978.0,16021.0,147.0,5843,941.0,729.0,934.0,3239.0,4542,4855,2084,1353,3692,7207,1077,1527,1008,1157,3297,2963,947,379,509,189,6457,3192,3265,9570,4461,5109,141,79,62,643.943,25.107812337427383,2008
1067,8648,TOTAL,3018,5585,45,17148,8193,8955,334,8033.0,38.0,7134.0,861.0,38379.0,19716.0,2562.0,16719.0,429.0,6656,752.0,814.0,708.0,4382.0,3352,7512,1908,1261,3189,8275,1845,998,1161,1030,3601,2991,1683,756,822,267,11673,5664,6009,5021,2302,2719,454,227,227,561.75,30.5260347129506,2008
1069,41735,TOTAL,12225,29254,256,99029,47512,51517,2608,47309.0,323.0,43872.0,3114.0,41022.0,22725.0,16348.0,96862.0,2167.0,38035,3728.0,2623.0,5580.0,26104.0,19916,40150,12780,5901,13885,47610,12946,5655,4083,4147,22876,16833,7901,5725,5496,1725,69839,33936,35903,25150,11540,13610,4040,2036,2004,579.824,170.791481553023,2008
