fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
13047,23678,TOTAL,5365,17858,455,64955,31699,33256,1662,32968,67,29802,3099,50180,22415,8461,63447.0,1508.0,23813,1272,1503,2892,18146,11929,29327,7426,3402,8074,32689,8423,2940,2774,2360,14952,11680,6057,4473,2815,1135,60604,29363,31241,1735,925,810,2616,1411,1205,162.46,399.8214945217284
13049,3764,TOTAL,1197,2527,40,13098,7428,5670,1445,5202,0,4329,873,41059,17586,2084,12077.0,1021.0,3552,386,269,462,2435,3661,4503,1900,931,2528,6949,1053,1264,672,592,3839,2228,882,396,460,197,9385,5463,3922,3419,1741,1678,294,224,70,782.368,16.741482269213463
13051,108628,TOTAL,60246,47204,1178,275303,132864,142439,15990,137930,3380,121745,12805,46987,25636,51070,257243.0,18060.0,103807,9837,6245,11676,76049,84678,90680,33730,14053,25785,127654,60441,13505,6025,6255,69093,40200,18361,29686,19778,10977,148598,73650,74948,109299,51196,58103,17406,8018,9388,632.259,435.42757003063616
13053,1490,TOTAL,729,735,26,11846,7665,4181,1699,7049,4406,2165,478,48488,19538,782,10917.0,929.0,2602,60,52,276,2214,4139,4196,634,152,743,6117,1958,533,41,169,5017,917,183,1673,249,36,8276,5567,2709,2255,1292,963,1315,806,509,251.165,47.16421475922203
13055,7822,TOTAL,2232,5452,138,25484,13240,12244,1136,9814,6,8736,1072,32496,15932,5606,24745.0,739.0,9347,1137,948,1607,5655,5959,9554,3363,1872,6335,11804,1584,2512,2131,1692,5643,4285,1876,700,570,314,21891,10958,10933,2882,1905,977,711,377,334,313.546,81.27675046085741
13057,98220,TOTAL,19841,76514,1865,221951,109320,112631,21900,115568,24,106790,8754,67371,30299,22675,202519.0,19432.0,77654,2785,1945,6794,66130,41917,99120,23060,8068,19661,92149,50789,9782,6007,3872,45565,32730,13854,24590,20385,5814,191990,94645,97345,14112,6973,7139,15849,7702,8147,434.413,510.92163448147267
13059,40368,TOTAL,25431,13815,1122,119681,56906,62775,12682,57992,253,52092,5647,33430,19333,38997,107652.0,12029.0,42107,8024,3139,5965,24979,56953,30655,9827,4215,10685,58171,29968,5369,3231,2085,43809,9770,4592,18546,7203,4219,78002,37900,40102,31615,14319,17296,10064,4687,5377,121.035,988.8131532201429
13061,1402,TOTAL,862,537,3,3110,1534,1576,138,1033,0,822,211,21300,12446,1398,3074.0,36.0,1170,223,209,215,523,798,815,423,275,485,1583,136,198,149,138,591,692,300,30,45,61,933,459,474,1995,973,1022,182,102,80,217.235,14.31629341496536
13063,96067,TOTAL,81479,14164,424,264221,125870,138351,35231,132784,296,111507,20981,40314,18074,64277,224430.0,39791.0,87490,8338,5715,11781,61656,86539,71499,33903,8849,35871,122477,30639,20167,10123,5581,69455,41371,11651,16890,11280,2469,58024,29203,28821,175863,81617,94246,30334,15050,15284,144.371,1830.152870036226
13065,2472,TOTAL,852,1598,22,6777,3286,3491,268,2535,17,2287,231,29125,18256,2306,6663.0,114.0,2579,539,368,367,1305,1567,2170,910,509,1287,2962,679,564,339,384,1352,1052,558,320,292,67,4566,2245,2321,1820,827,993,391,214,177,823.989,8.224624357849438
13067,310116,TOTAL,133124,171722,5270,708920,343796,365124,88665,394445,817,357838,35790,64657,33418,91080,601031.0,107889.0,264805,13693,8801,21841,220470,182085,286200,70494,22296,52468,266143,212679,31637,12575,8256,138870,88739,38534,105593,85223,21863,440344,217382,222962,185448,85434,100014,83128,40980,42148,344.517,2057.7213896556627
13069,14454,TOTAL,5057,9248,149,42947,21925,21022,4533,17372,23,15513,1836,34523,16796,10255,40340.0,2607.0,14597,1899,1108,2593,8997,11974,14778,5166,2002,7301,21295,3517,3352,2232,1717,11382,7145,2768,1808,1128,581,27757,13921,13836,11801,6265,5536,3389,1739,1650,602.647,71.26394058213182
